7,Administrador,4,190,ocupada,MOSTRADOR
1,COCA600,"Coca Cola 600ML",25.00,,1,entregado,BEBIDA
3,HBAME,"Hamburguesa Americana ",80.00,,1,listo,PLATILLO
8,BAGAR,"Baguette Arrachera",85.00,,1,listo,PLATILLO
